ISIN,Firmenname,Ereignisdatum,Investorenidentität
DE0005407506,"Centrotec Sustainable AG, Brilon",2011-01-25,Aktivist
DE0007568578,"SFC Energy AG, Brunnthal",2011-01-25,Aktivist
DE0005111702,"zooplus AG, München",2011-03-18,Aktivist
DE0005855183,"MS Industrie AG, München",2012-01-26,Aktivist
DE0005034201,"Allerthal-Werke Aktiengesellschaft, Köln",2013-01-11,Aktivist
DE000A0V9A22,"Schuler Aktiengesellschaft, Göppingen",2013-02-14,Aktivist
DE0005146807,"Delticom AG, Hannover",2014-01-31,Aktivist
US58155Q1031,"Celesio AG, Stuttgart",2014-02-06,Aktivist
DE0006046113,"Biofrontera AG, Leverkusen",2014-02-11,Aktivist
DE000A2NBTL2,"Schaltbau Holding AG, München",2014-05-01,Aktivist
DE0005878003,"DMG MORI AKTIENGESELLSCHAFT, Bielefeld",2015-02-02,Aktivist
DE0006046113,"Biofrontera AG, Leverkusen",2015-03-31,Aktivist
DE0005878003,"DMG MORI AKTIENGESELLSCHAFT, Bielefeld",2015-07-07,Aktivist
DE0005895403,"GRAMMER Aktiengesellschaft, Amberg",2016-10-05,Aktivist
DE0005895403,"GRAMMER Aktiengesellschaft, Amberg",2017-01-03,Aktivist
DE000A0Z23G6,"DEAG Deutsche Entertainment Aktiengesellschaft, Berlin",2018-04-20,Aktivist
DE000A1R1C81,"Panamax Aktiengesellschaft, Frankfurt am Main",2018-05-24,Aktivist
DE000A161408,"HelloFresh SE, Berlin",2019-05-14,Aktivist
DE000JST4000,"JOST Werke AG, Neu-Isenburg",2019-06-26,Aktivist
DE000A12DM80,"Scout24 AG, München",2019-09-09,Aktivist
DE0006910904,"PC-Ware Information Technologies AG, Leipzig",2008-11-06,FinancialBlock
DE0008041005,"Deutsche Effecten- und Wechsel-Beteiligungsgesellschaft AG, Jena",2010-03-01,FinancialBlock
DE0006873805,"Synaxon AG, Bielefeld",2010-10-14,FinancialBlock
DE000A0JDU97,"IFM Immobilien AG, Heidelberg",2011-01-01,FinancialBlock
DE000A1K0300,"euromicron AG, Frankfurt am Main",2011-01-21,FinancialBlock
DE000A0JL461,"ItN Nanovation AG, Saarbrücken",2011-04-04,FinancialBlock
DE0005085005,"elexis AG, Wenden",2011-07-21,FinancialBlock
DE0006605009,"MEDION AG, Essen",2011-08-11,FinancialBlock
DE0005863534,"GAG Immobilien AG, Köln",2011-12-16,FinancialBlock
DE000TUAG000,"TUI AG, Hannover und Berlin",2012-03-05,FinancialBlock
DE000A0Z23G6,"DEAG Deutsche Entertainment Aktiengesellschaft, Berlin",2013-02-28,FinancialBlock
DE0008435967,"Nürnberger Beteiligungs- Aktiengesellschaft, Nürnberg",2013-03-25,FinancialBlock
DE000A1H8MU2,"Adler Modemärkte AG, Haibach",2013-04-25,FinancialBlock
DE0005408884,"LEONI AG, Nürnberg",2013-04-29,FinancialBlock
DE0007667107,"Vossloh Aktiengesellschaft, Werdohl",2013-06-03,FinancialBlock
DE000A0KFKB3,"Accentro Real Estate AG, Berlin",2013-08-08,FinancialBlock
DE0007235301,"SGL Carbon SE, Wiesbaden",2013-08-10,FinancialBlock
DE000GSW1111,"GSW Immobilien AG, Berlin",2013-09-23,FinancialBlock
