EventID,ISIN,EventDate,Group,BlockSize,CAR_[-10;+10],CAR_[-5;+5],CAR_[-2;+5],CAR_[-2;+2],CAR_[-1;+1],CAR_[-1;+0],Block_3,Block_5,Block_10,Block_20,Block_30,GROUP_A,GROUP_F,GROUP_S,Leverage_T-1,MarketCap_T-1,NetSales_T-1,SalesGrowth,MarketToBookValue_T-1,ReturnOnAssets_T-1,TurnoverByVolume,BHAR,HasNAN
1,DE0005855183,2012-01-26,Activist,FIVE,0.0602,0.0887,0.0533,-0.0396,-0.0102,0.0252,0,1,0,0,0,1,0,0,116.40,43218,157056,0.23,1.15,5.56,70.20,0.0230,FALSE
2,DE0005407506,2011-01-25,Activist,THREE,0.1544,0.1312,0.0645,0.0183,0.0426,0.0541,1,0,0,0,0,1,0,0,69.61,271198,479650,0.03,0.96,7.85,83.30,0.1302,FALSE
3,DE000A1R1C81,2018-05-24,Activist,THREE,-0.0661,-0.0003,0.0238,0.0164,0.0184,-0.0012,1,0,0,0,0,1,0,0,nan,3987,0,nan,433.18,-134.90,nan,-0.0660,TRUE
4,DE0005085005,2011-07-21,FinancialBlock,FIVE,0.0826,-0.0142,-0.0375,-0.0388,-0.0201,-0.0132,0,1,0,0,0,0,1,0,31.25,121716,136725,0.09,1.42,2.88,3.50,-0.0026,FALSE
5,DE000TUAG000,2012-03-05,FinancialBlock,TWENTY,-0.2065,-0.1000,-0.0882,-0.0221,-0.0185,-0.0220,0,0,0,1,0,0,1,0,142.20,975828,nan,nan,1.24,1.43,1720.60,-0.0600,TRUE
6,DE000GSW1111,2013-09-23,FinancialBlock,FIVE,-0.0501,0.0162,0.0053,0.0055,-0.0173,-0.0012,0,1,0,0,0,0,1,0,136.57,1616842,nan,nan,0.96,6.36,139.40,-0.0928,TRUE
7,DE0007507501,2017-10-01,FinancialBlock,FIVE,0.0166,0.0023,0.0189,0.0128,0.0258,0.0345,0,1,0,0,0,0,1,0,13.02,662425,372785,0.09,6.75,15.44,13.20,-0.0842,FALSE
8,DE0008435967,2013-03-25,FinancialBlock,FIVE,-0.0153,-0.0035,-0.0041,0.0022,0.0017,0.0021,0,1,0,0,0,0,1,0,47.02,699264,4712874,0.08,0.95,0.40,0.40,0.0370,FALSE
9,DE000A0JDU97,2011-01-01,FinancialBlock,FIVE,0.0567,0.0636,0.0740,0.0465,-0.0042,-0.0131,0,1,0,0,0,0,1,0,186.33,84197,19916,-0.06,0.70,2.99,1.60,0.0957,FALSE
10,DE000TUAG000,2017-01-11,FinancialBlock,THREE,-0.0166,-0.0363,-0.0323,-0.0334,-0.0438,-0.0394,1,0,0,0,0,0,1,0,76.30,7446579,nan,nan,3.68,8.31,1856.70,-0.0254,TRUE
11,DE0005874846,2015-12-15,FinancialBlock,FIVE,-0.0452,0.0493,0.0807,0.0487,-0.0462,-0.0013,0,1,0,0,0,0,1,0,78.94,17397,40509,0.07,1.13,-6.29,nan,0.1478,TRUE
12,CH0022237009,2014-05-19,FinancialBlock,FIVE,-0.0875,-0.0792,-0.0703,-0.0293,-0.0010,0.0135,0,1,0,0,0,0,1,0,31.83,13626,7081,0.15,0.96,-4.00,13.10,-0.2488,FALSE
13,DE0007667107,2015-08-04,FinancialBlock,FIVE,0.1213,0.0900,0.0578,-0.0210,-0.0363,-0.0102,0,1,0,0,0,0,1,0,100.33,712903,1323900,0.00,2.51,-12.11,28.30,0.1845,FALSE
14,DE000A0Z1JH9,2015-11-26,FinancialBlock,FIVE,-0.0468,-0.0141,0.0244,0.0144,-0.0123,-0.0080,0,1,0,0,0,0,1,0,7.72,186877,175386,-0.01,2.66,2.96,18.00,0.0168,FALSE
